hidden_dim,slstm_layers,lr,dropout,batch_size,aux_loss_weight,awaf_md,seed,n_params,total_time_sec,MAE,Corr,ACC2_Non0,F1_Non0,ACC2_Has0,F1_Has0,ACC7,w_t_mean,w_a_mean,w_v_mean,w_t_std,w_a_std,w_v_std,sum_w_max_dev,output_dir,run_id
128,1,5e-05,0.3,32,0.0,True,42,980102,21.485975980758667,1.1169378962150556,0.5086254203191813,72.71341463414635,64.9706457925636,71.28279883381924,64.37613019891502,28.57142857142857,0.6221060156822205,0.19190192222595215,0.1859920769929886,0.17765013873577118,0.10181070864200592,0.086638905107975,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_205800_h128_l1_lr5e-05_do0.3_bs32_aux0.0_md1_s42,h128_l1_lr5e-05_do0.3_bs32_aux0.0_md1_s42
128,1,5e-05,0.1,32,0.0,True,42,980102,22.59675407409668,1.2669679666204112,0.46940579550741274,67.98780487804879,69.02654867256638,68.07580174927114,69.95884773662553,25.801749271137027,0.4955856204032898,0.2985903322696686,0.20582403242588043,0.1706697642803192,0.16321298480033875,0.05325755849480629,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_205823_h128_l1_lr5e-05_do0.1_bs32_aux0.0_md1_s42,h128_l1_lr5e-05_do0.1_bs32_aux0.0_md1_s42
128,2,5e-05,0.3,32,0.0,True,42,1374854,25.768054962158203,1.129973545942032,0.5195796481795123,74.23780487804879,67.4373795761079,72.8862973760933,66.90391459074733,30.174927113702626,0.3525296747684479,0.3904081881046295,0.2570621371269226,0.13200166821479797,0.19272775948047638,0.08525045216083527,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_205846_h128_l2_lr5e-05_do0.3_bs32_aux0.0_md1_s42,h128_l2_lr5e-05_do0.3_bs32_aux0.0_md1_s42
256,1,5e-05,0.3,32,0.0,True,42,3056902,22.38744282722473,1.0969461508030098,0.504818437632972,71.1890243902439,58.46153846153847,69.38775510204081,57.48987854251011,27.696793002915456,0.5723519325256348,0.10703717917203903,0.3206108808517456,0.12688712775707245,0.14487776160240173,0.1577736735343933,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_205913_h256_l1_lr5e-05_do0.3_bs32_aux0.0_md1_s42,h256_l1_lr5e-05_do0.3_bs32_aux0.0_md1_s42
256,1,5e-05,0.1,32,0.0,True,42,3056902,21.960899591445923,1.0881791068621132,0.5129208556291526,72.2560975609756,60.26200873362446,70.40816326530613,59.154929577464785,29.154518950437318,0.28912103176116943,0.14866669476032257,0.5622122287750244,0.2009476274251938,0.0534823052585125,0.22592151165008545,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_205935_h256_l1_lr5e-05_do0.1_bs32_aux0.0_md1_s42,h256_l1_lr5e-05_do0.1_bs32_aux0.0_md1_s42
256,1,0.0001,0.3,32,0.0,True,42,3056902,21.70373034477234,1.0576498018511171,0.536563860818416,73.47560975609755,62.97872340425531,71.5743440233236,61.68958742632613,29.008746355685133,0.554973304271698,0.0653306320309639,0.3796960711479187,0.13478206098079681,0.08099377900362015,0.17787900567054749,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_205958_h256_l1_lr1e-04_do0.3_bs32_aux0.0_md1_s42,h256_l1_lr1e-04_do0.3_bs32_aux0.0_md1_s42
256,2,5e-05,0.3,32,0.0,True,42,4632838,26.6356942653656,1.1939501708737268,0.5264897170725152,70.1219512195122,70.91988130563799,70.26239067055393,71.900826446281,27.405247813411076,0.5917999148368835,0.1097695603966713,0.298430472612381,0.3035757541656494,0.06221047788858414,0.24721278250217438,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_210020_h256_l2_lr5e-05_do0.3_bs32_aux0.0_md1_s42,h256_l2_lr5e-05_do0.3_bs32_aux0.0_md1_s42
256,1,5e-05,0.3,16,0.0,True,42,3056902,32.75632095336914,1.0886716591085663,0.5260091626796338,73.32317073170732,62.84501061571126,71.42857142857143,61.568627450980394,27.259475218658892,0.30036526918411255,0.1252267211675644,0.5744079947471619,0.2557397782802582,0.0476326160132885,0.28216353058815,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_210047_h256_l1_lr5e-05_do0.3_bs16_aux0.0_md1_s42,h256_l1_lr5e-05_do0.3_bs16_aux0.0_md1_s42
256,1,5e-05,0.3,32,0.1,True,42,3156748,24.95469856262207,1.143334731285843,0.4887328327689256,71.95121951219512,68.8135593220339,70.99125364431487,68.66141732283465,27.988338192419825,0.5025100708007812,0.09620724618434906,0.4012826979160309,0.27765822410583496,0.032656241208314896,0.2691085934638977,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_210120_h256_l1_lr5e-05_do0.3_bs32_aux0.1_md1_s42,h256_l1_lr5e-05_do0.3_bs32_aux0.1_md1_s42
256,1,5e-05,0.3,32,0.0,False,42,3056902,23.078515768051147,1.187226864609748,0.5154862382372428,70.42682926829268,69.4006309148265,69.82507288629738,69.60352422907489,28.717201166180757,0.4956881105899811,0.12347610294818878,0.38083580136299133,0.29024946689605713,0.05814550071954727,0.2869056463241577,1.1920928955078125e-07,E:\00project_code\main_leo\new_code\outputs\P3A_c0_stability_exploration\mosi\C0\20260616_210146_h256_l1_lr5e-05_do0.3_bs32_aux0.0_md0_s42,h256_l1_lr5e-05_do0.3_bs32_aux0.0_md0_s42
