sample_id,split,failure_reason,audio_frames,vision_frames
-3nNcZdcdvU_0_0,train,audio_nonfinite_2,,
-571d8cVauQ_0_0,valid,audio_nonfinite_2,,
-6rXp3zJ3kc_58_13,test,vision_mask_zero,,
-HwX2H8Z4hY_27_08,train,vision_mask_zero,,
-MeTTeMJBNc_0_0,test,audio_nonfinite_2,,
-MeTTeMJBNc_77_036,test,vision_mask_zero,,
-THoVjtIkeU_84_27,train,vision_mask_zero,,
-THoVjtIkeU_97_62,train,vision_mask_zero,,
-UUCSKoHeMA_0_0,test,audio_nonfinite_2,,
-UUCSKoHeMA_66_032,test,vision_mask_zero,,
-aqamKhZ1Ec_0_0,train,audio_nonfinite_1,,
-dxfTGcXJoc_0_0,train,audio_nonfinite_2,,
-lqc32Zpr7M_0_0,train,audio_nonfinite_2,,
-lqc32Zpr7M_22_4,train,vision_mask_zero,,
-lzEya4AM_4_78_23,train,vision_mask_zero,,
-qDkUB0GgYY_57_8,valid,vision_mask_zero,,
-rxZxtG0xmY_0_0,test,audio_nonfinite_2,,
-tANM6ETl_M_0_0,train,audio_nonfinite_2,,
-tANM6ETl_M_19_008,train,vision_mask_zero,,
-tPCytz4rww_81_027,train,vision_mask_zero,,
-uywlfIYOS8_47_015,valid,vision_mask_zero,,
-wMB_hJL-3o_0_0,train,audio_nonfinite_2,,
-yRb-Jum7EQ_44_41,test,vision_mask_zero,,
-yRb-Jum7EQ_71_34,test,vision_mask_zero,,
03X1FwF6udc_110_081,train,vision_mask_zero,,
03X1FwF6udc_152_066,train,vision_mask_zero,,
06st0Ez_E_I_0_0,valid,audio_nonfinite_2,,
0JuRmhhgMw8_0_351,train,audio_nonfinite_2,,
0OXeN3MhFeA_0_0,train,audio_nonfinite_2,,
0OXeN3MhFeA_9_8,train,vision_mask_zero,,
0PlQc98SccA_0_0,test,audio_nonfinite_2,,
0YdYFtVdlWE_107_49,train,vision_mask_zero,,
0YdYFtVdlWE_109_5,train,vision_mask_zero,,
0YdYFtVdlWE_46_41,train,vision_mask_zero,,
0YdYFtVdlWE_61_59,train,vision_mask_zero,,
0YdYFtVdlWE_76_71,train,vision_mask_zero,,
0YdYFtVdlWE_94_38,train,vision_mask_zero,,
0YdYFtVdlWE_96_57,train,vision_mask_zero,,
0YdYFtVdlWE_97_26,train,vision_mask_zero,,
0YiAKqU36KE_36_1,test,vision_mask_zero,,
0cBmQ_ItVUc_170_44,train,vision_mask_zero,,
0cBmQ_ItVUc_194_6,train,vision_mask_zero,,
0hCOCt6fWas_43_812,train,audio_nonfinite_4,,
0hCOCt6fWas_73_79,train,audio_nonfinite_2,,
0hCOCt6fWas_97_061,train,vision_mask_zero,,
0hCOCt6fWas_9_041,train,audio_nonfinite_2,,
0uftSGdwo0Q_0_0,test,audio_nonfinite_2,,
101787_0_0,valid,audio_nonfinite_2,,
101787_57_038,valid,vision_mask_zero,,
102184_67_12,train,vision_mask_zero,,
10219_33_007,test,vision_mask_zero,,
102213_34_004,test,vision_mask_zero,,
102213_56_034,test,vision_mask_zero,,
102389_0_0,test,audio_nonfinite_2,,
106077_32_03,train,vision_mask_zero,,
106077_45_0,train,vision_mask_zero,,
106077_64_027,train,vision_mask_zero,,
106077_78_18,train,vision_mask_zero,,
106514_0_0,train,audio_nonfinite_1,,
106514_95_78,train,vision_mask_zero,,
106941_45_01,train,vision_mask_zero,,
107551_86_067,train,vision_mask_zero,,
107585_36_32,test,vision_mask_zero,,
108146_5_001,test,vision_mask_zero,,
108793_93_56,train,vision_mask_zero,,
110565_40_7,test,vision_mask_zero,,
112148_60_011,train,vision_mask_zero,,
112169_40_25,train,vision_mask_zero,,
112169_51_035,train,vision_mask_zero,,
112223_12_12,train,vision_mask_zero,,
112223_24_003,train,vision_mask_zero,,
112425_2_3,test,vision_mask_zero,,
112509_40_32,test,vision_mask_zero,,
112604_0_0,train,audio_nonfinite_2,,
112631_36_08,train,vision_mask_zero,,
112631_49_001,train,vision_mask_zero,,
112903_0_0,train,audio_nonfinite_2,,
114624_0_0,train,audio_nonfinite_2,,
11650_0_0,train,audio_nonfinite_2,,
11650_89_2,train,vision_mask_zero,,
119348_31_9,train,vision_mask_zero,,
11UtTaDYgII_0_0,test,audio_nonfinite_2,,
121128_49_05,valid,vision_mask_zero,,
121358_0_0,train,audio_nonfinite_1,,
121358_34_004,train,vision_mask_zero,,
122842_45_28,train,vision_mask_zero,,
122842_62_56,train,vision_mask_zero,,
125730_14_3,train,vision_mask_zero,,
125730_56_015,train,vision_mask_zero,,
125730_82_076,train,vision_mask_zero,,
125895_49_46,train,vision_mask_zero,,
126542_0_0,train,audio_nonfinite_2,,
126542_67_065,train,vision_mask_zero,,
126831_0_011,train,audio_nonfinite_2,,
126872_49_036,test,vision_mask_zero,,
128059_82_57,valid,vision_mask_zero,,
128059_89_16,valid,vision_mask_zero,,
128752_58_09,train,vision_mask_zero,,
128752_5_05,train,vision_mask_zero,,
128763_43_024,valid,vision_mask_zero,,
128949_0_0,train,audio_nonfinite_2,,
128949_34_17,train,vision_mask_zero,,
129733_14_1,train,vision_mask_zero,,
129733_54_11,train,vision_mask_zero,,
130149_26_012,train,vision_mask_zero,,
130149_87_025,train,vision_mask_zero,,
130366_0_0,test,audio_nonfinite_2,,
130366_35_022,test,vision_mask_zero,,
130456_0_0,valid,audio_nonfinite_1,,
131650_0_0,train,audio_nonfinite_2,,
131650_56_14,train,vision_mask_zero,,
135623_0_0,test,audio_nonfinite_2,,
136196_18_15,test,vision_mask_zero,,
136196_75_021,test,vision_mask_zero,,
137827_40_31,train,vision_mask_zero,,
139006_110_57,train,vision_mask_zero,,
139006_132_112,train,vision_mask_zero,,
139032_141_92,train,vision_mask_zero,,
139032_151_009,train,vision_mask_zero,,
139032_59_058,train,vision_mask_zero,,
139032_95_54,train,vision_mask_zero,,
139032_97_87,train,vision_mask_zero,,
140293_0_0,train,audio_nonfinite_2,,
140317_0_0,train,audio_nonfinite_2,,
154449_0_0,train,audio_nonfinite_2,,
154449_59_038,train,vision_mask_zero,,
15837_55_017,train,vision_mask_zero,,
167521_36_09,test,vision_mask_zero,,
167521_47_33,test,vision_mask_zero,,
180923_14_3,train,vision_mask_zero,,
184784_0_0,train,audio_nonfinite_2,,
188122_0_0,train,audio_nonfinite_1,,
188122_60_56,train,vision_mask_zero,,
188343_0_0,valid,audio_nonfinite_2,,
188343_23_09,valid,vision_mask_zero,,
189966_102_3,train,vision_mask_zero,,
189966_49_42,train,vision_mask_zero,,
18QjfdhJEM4_0_0124716553288,train,audio_nonfinite_2,,
190743_104_46,test,vision_mask_zero,,
190743_78_065,test,vision_mask_zero,,
197778_25_25,train,vision_mask_zero,,
19k6sEC7814_0_0,train,audio_nonfinite_2,,
1A-aRhYx-GQ_62_24,train,vision_mask_zero,,
1A-aRhYx-GQ_95_045,train,vision_mask_zero,,
1F0qH0EEBfo_105_33,train,vision_mask_zero,,
1F0qH0EEBfo_45_9,train,vision_mask_zero,,
1F0qH0EEBfo_67_44,train,vision_mask_zero,,
1F0qH0EEBfo_7_02,train,vision_mask_zero,,
1F0qH0EEBfo_94_47,train,vision_mask_zero,,
1F0qH0EEBfo_98_49,train,vision_mask_zero,,
1HK7Nea0PFo_0_0,valid,audio_nonfinite_2,,
1LkYxsqRPZM_0_0,test,audio_nonfinite_2,,
1RxliidxXyQ_0_0,train,audio_nonfinite_2,,
1W38PnuWIkM_47_46,train,vision_mask_zero,,
1bzS0YF5hfs_14_0,train,vision_mask_zero,,
1cyUKHOvdYY_0_0,train,audio_nonfinite_2,,
1fqNb8cfLFE_0_0,train,audio_nonfinite_2,,
1k7br8xXMSU_93_046,train,vision_mask_zero,,
1olbQVO_C-8_0_0,train,audio_nonfinite_2,,
1pl2FVdQWj0_0_0,test,audio_nonfinite_2,,
1rVly2oeBJg_0_0,train,audio_nonfinite_2,,
1sJjdaXXuJg_29_005,train,vision_mask_zero,,
1tuMFJnlXJc_66_061,train,vision_mask_zero,,
2-4autDbHVQ_40_5,train,vision_mask_zero,,
2-4autDbHVQ_47_34,train,vision_mask_zero,,
2-4autDbHVQ_56_7,train,vision_mask_zero,,
