sample_id,split,is_valid,audio_frames,vision_frames,audio_active_mean,vision_active_mean
--qXJuDtHPw_23_199,valid,True,100,50,1.4555754661560059,161.3122100830078
-3g5yACwYnA_119_919,train,True,100,50,1.7116609811782837,228.27719116210938
-3g5yACwYnA_13_6315,train,True,100,50,1.6130262613296509,226.47210693359375
-3g5yACwYnA_27_031,train,True,100,1,1.6739921569824219,220.39825439453125
-3g5yACwYnA_4_84,train,True,100,24,1.7212481498718262,222.40206909179688
-3g5yACwYnA_74_083,train,True,100,2,1.850388765335083,223.25091552734375
-3g5yACwYnA_82_7645,train,True,100,50,1.7697120904922485,226.7954864501953
-3nNcZdcdvU_0_0,train,False,,,,
-3nNcZdcdvU_12_014,train,True,100,1,4.002884864807129,-5598.4033203125
-3nNcZdcdvU_36_399,train,True,100,50,3.6163837909698486,153.73245239257812
-571d8cVauQ_0_0,valid,False,,,,
-571d8cVauQ_21_842,valid,True,100,50,1.879989743232727,-10.686905860900879
-571d8cVauQ_69_893,valid,True,100,50,2.0171937942504883,156.32798767089844
-6rXp3zJ3kc_14_468,test,True,100,50,1.250038981437683,-374.645263671875
-6rXp3zJ3kc_45_428,test,True,100,50,0.958816647529602,144.03587341308594
-6rXp3zJ3kc_58_13,test,False,,,,
-9y-fZ3swSY_0_0,test,True,100,1,3.8243563175201416,271.6770324707031
-9y-fZ3swSY_11_7855,test,True,100,50,3.354018211364746,274.3116455078125
-9y-fZ3swSY_16_055,test,True,100,12,3.8799941539764404,278.8602600097656
-9y-fZ3swSY_23_179,test,True,100,47,4.474859714508057,284.71466064453125
-9y-fZ3swSY_37_077,test,True,100,12,3.750718593597412,279.4344177246094
-9y-fZ3swSY_42_7505,test,True,100,50,3.5711159706115723,274.1156311035156
-9y-fZ3swSY_47_829,test,True,100,50,3.2865371704101562,278.83026123046875
-9y-fZ3swSY_6_368,test,True,100,50,3.659977912902832,284.3230285644531
-AUZQgSxyPQ_13_122,test,True,100,33,4.413846969604492,-9169.2939453125
-HeZS2-Prhc_16_405,test,True,100,50,3.282526731491089,116.73243713378906
-HeZS2-Prhc_34_224,test,True,100,50,4.048987865447998,117.33740234375
-HeZS2-Prhc_71_998,test,True,100,50,4.026442527770996,116.2872085571289
-HeZS2-Prhc_7_764,test,True,100,50,3.684394598007202,116.53096771240234
-HwX2H8Z4hY_0_0,train,True,100,1,1.6494816541671753,362.0140380859375
-HwX2H8Z4hY_10_818,train,True,100,50,1.5861918926239014,353.2553405761719
-HwX2H8Z4hY_14_0655,train,True,100,50,1.4986999034881592,321.139404296875
-HwX2H8Z4hY_19_992,train,True,100,50,2.004862070083618,517.15234375
-HwX2H8Z4hY_27_08,train,False,,,,
-HwX2H8Z4hY_2_247,train,True,100,50,2.010207414627075,224.9274444580078
-HwX2H8Z4hY_32_358999999999995,train,True,100,50,1.8745476007461548,359.38360595703125
-HwX2H8Z4hY_35_441,train,True,100,50,1.7768439054489136,239.4832305908203
-HwX2H8Z4hY_43_093,train,True,100,15,1.7106165885925293,241.15753173828125
-HwX2H8Z4hY_49_425,train,True,100,50,1.4750444889068604,234.37631225585938
-I_e4mIh0yE_16_803,valid,True,100,50,1.6026586294174194,133.89944458007812
-I_e4mIh0yE_25_4695,valid,True,100,50,1.4941293001174927,135.5166778564453
-I_e4mIh0yE_3_144,valid,True,100,43,1.1215397119522095,136.63424682617188
-MeTTeMJBNc_0_0,test,False,,,,
-MeTTeMJBNc_10_647,test,True,100,50,2.896881341934204,-279.1893615722656
-MeTTeMJBNc_31_849,test,True,100,50,2.9824652671813965,44.35390090942383
-MeTTeMJBNc_77_036,test,False,,,,
-RfYyzHpjk4_48_711,test,True,100,50,3.293292760848999,-2352.202392578125
-RfYyzHpjk4_52_9375,test,True,100,50,3.0513672828674316,-63.89019775390625
-RfYyzHpjk4_64_794,test,True,100,50,2.9316530227661133,-1970.2496337890625
-RfYyzHpjk4_9_051,test,True,100,13,3.6356656551361084,-9169.294921875
