sample_id,split
03bSnISJMiM_1,train
03bSnISJMiM_10,train
03bSnISJMiM_11,train
03bSnISJMiM_12,train
03bSnISJMiM_13,train
03bSnISJMiM_2,train
03bSnISJMiM_3,train
03bSnISJMiM_4,train
03bSnISJMiM_5,train
03bSnISJMiM_6,train
03bSnISJMiM_7,train
03bSnISJMiM_8,train
03bSnISJMiM_9,train
0h-zjBukYpk_1,train
0h-zjBukYpk_10,train
0h-zjBukYpk_11,train
0h-zjBukYpk_12,train
0h-zjBukYpk_13,train
0h-zjBukYpk_14,train
0h-zjBukYpk_15,train
0h-zjBukYpk_16,train
0h-zjBukYpk_17,train
0h-zjBukYpk_18,train
0h-zjBukYpk_19,train
0h-zjBukYpk_2,train
0h-zjBukYpk_20,train
0h-zjBukYpk_21,train
0h-zjBukYpk_22,train
0h-zjBukYpk_23,train
0h-zjBukYpk_24,train
0h-zjBukYpk_25,train
0h-zjBukYpk_3,train
0h-zjBukYpk_4,train
0h-zjBukYpk_5,train
0h-zjBukYpk_6,train
0h-zjBukYpk_7,train
0h-zjBukYpk_8,train
0h-zjBukYpk_9,train
1DmNV9C1hbY_1,train
1DmNV9C1hbY_10,train
1DmNV9C1hbY_11,train
1DmNV9C1hbY_12,train
1DmNV9C1hbY_13,train
1DmNV9C1hbY_14,train
1DmNV9C1hbY_2,train
1DmNV9C1hbY_3,train
1DmNV9C1hbY_4,train
1DmNV9C1hbY_5,train
1DmNV9C1hbY_6,train
1DmNV9C1hbY_7,train
1DmNV9C1hbY_8,train
1DmNV9C1hbY_9,train
1iG0909rllw_1,train
1iG0909rllw_10,train
1iG0909rllw_11,train
1iG0909rllw_12,train
1iG0909rllw_13,train
1iG0909rllw_14,train
1iG0909rllw_15,train
1iG0909rllw_16,train
1iG0909rllw_17,train
1iG0909rllw_18,train
1iG0909rllw_19,train
1iG0909rllw_2,train
1iG0909rllw_20,train
1iG0909rllw_21,train
1iG0909rllw_22,train
1iG0909rllw_23,train
1iG0909rllw_24,train
1iG0909rllw_25,train
1iG0909rllw_26,train
1iG0909rllw_27,train
1iG0909rllw_28,train
1iG0909rllw_29,train
1iG0909rllw_3,train
1iG0909rllw_30,train
1iG0909rllw_4,train
1iG0909rllw_5,train
1iG0909rllw_6,train
1iG0909rllw_7,train
1iG0909rllw_8,train
1iG0909rllw_9,train
2WGyTLYerpo_1,train
2WGyTLYerpo_10,train
2WGyTLYerpo_11,train
2WGyTLYerpo_12,train
2WGyTLYerpo_13,train
2WGyTLYerpo_14,train
2WGyTLYerpo_15,train
2WGyTLYerpo_16,train
2WGyTLYerpo_17,train
2WGyTLYerpo_18,train
2WGyTLYerpo_19,train
2WGyTLYerpo_2,train
