sample_id,split,audio_frames,vision_frames,audio_temporal_var,vision_temporal_var,audio_all_zero,vision_all_zero,audio_nan,vision_nan,audio_inf,vision_inf
03bSnISJMiM_1,train,100,32,0.06209712103009224,1.0135085582733154,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_10,train,78,32,0.036087263375520706,1.0053776502609253,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_11,train,100,32,0.034560274332761765,1.0061793327331543,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_12,train,100,32,0.027675295248627663,0.999308705329895,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_13,train,84,32,0.03967895731329918,0.9592496752738953,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_2,train,100,32,0.03464720770716667,0.9548760652542114,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_3,train,100,32,0.028133420273661613,0.967097282409668,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_4,train,100,32,0.020540429279208183,0.9614435434341431,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_5,train,39,32,0.01764499954879284,0.9709328413009644,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_6,train,94,32,0.02097315527498722,0.9493384957313538,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_7,train,100,32,0.04520964249968529,0.937170147895813,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_8,train,100,32,0.06600078195333481,1.0053701400756836,0.0,0.0,0.0,0.0,0.0,0.0
03bSnISJMiM_9,train,100,32,0.01864171214401722,0.9233788251876831,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_1,train,100,32,0.025934020057320595,1.0165289640426636,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_10,train,100,32,0.04985940828919411,0.9878064393997192,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_11,train,93,32,0.02508285641670227,1.0767841339111328,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_12,train,46,32,0.020135115832090378,1.049580454826355,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_13,train,78,32,0.06010241433978081,1.0419296026229858,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_14,train,100,32,0.026887649670243263,1.0259127616882324,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_15,train,71,32,0.022916993126273155,1.046164870262146,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_16,train,100,32,0.026858726516366005,1.0562102794647217,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_17,train,100,32,0.03824134171009064,1.042262315750122,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_18,train,100,32,0.04267969727516174,1.0327963829040527,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_19,train,100,32,0.026034176349639893,0.9845654964447021,0.0,0.0,0.0,0.0,0.0,0.0
0h-zjBukYpk_2,train,100,32,0.04308686777949333,1.0122097730636597,0.0,0.0,0.0,0.0,0.0,0.0
