original_path,new_path,model,reason,ACC2,F1,MAE,Corr,action
outputs/P6S_repair4/mosei/baselines\dlf_lite_s42_20260619_185246,outputs/_invalid/P6S_repair4_collapse_20260619_190122\dlf_lite_s42_20260619_185246,dlf_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\lmf_lite_s42_20260619_184807,outputs/_invalid/P6S_repair4_collapse_20260619_190122\lmf_lite_s42_20260619_184807,lmf_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\misa_lite_s42_20260619_184915,outputs/_invalid/P6S_repair4_collapse_20260619_190122\misa_lite_s42_20260619_184915,misa_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\mlcl_lite_s42_20260619_185135,outputs/_invalid/P6S_repair4_collapse_20260619_190122\mlcl_lite_s42_20260619_185135,mlcl_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\mmim_lite_s42_20260619_185024,outputs/_invalid/P6S_repair4_collapse_20260619_190122\mmim_lite_s42_20260619_185024,mmim_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\mult_lite_s42_20260619_183250,outputs/_invalid/P6S_repair4_collapse_20260619_190122\mult_lite_s42_20260619_183250,mult_lite,systematic_collapse_const_prediction,?,?,?,?,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\mult_lite_s42_20260619_183821,outputs/_invalid/P6S_repair4_collapse_20260619_190122\mult_lite_s42_20260619_183821,mult_lite,systematic_collapse_const_prediction,?,?,?,?,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\mult_lite_s42_20260619_183841,outputs/_invalid/P6S_repair4_collapse_20260619_190122\mult_lite_s42_20260619_183841,mult_lite,systematic_collapse_const_prediction,?,?,?,?,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\mult_lite_s42_20260619_183929,outputs/_invalid/P6S_repair4_collapse_20260619_190122\mult_lite_s42_20260619_183929,mult_lite,systematic_collapse_const_prediction,?,?,?,?,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\mult_lite_s42_20260619_184011,outputs/_invalid/P6S_repair4_collapse_20260619_190122\mult_lite_s42_20260619_184011,mult_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\selfmm_lite_s42_20260619_184549,outputs/_invalid/P6S_repair4_collapse_20260619_190122\selfmm_lite_s42_20260619_184549,selfmm_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
outputs/P6S_repair4/mosei/baselines\tfn_lite_s42_20260619_184701,outputs/_invalid/P6S_repair4_collapse_20260619_190122\tfn_lite_s42_20260619_184701,tfn_lite,systematic_collapse_const_prediction,38.03885853066181,0.0,nan,0.0,moved_to_invalid
