file,exists,size_bytes,git_tracked,role
scripts/train_textft_lora_mainline.py,True,31346,True,entry
scripts/train_baseline_lite.py,True,18233,True,entry
scripts/eval_checkpoint.py,True,3450,True,entry
scripts/p6u_status.py,True,3051,True,entry
scripts/p6u_run_all_smoke.py,True,4378,True,entry
models/textft_lora_xlstm_awaf_residual.py,True,27227,True,model
models/encoders/slstm.py,True,17157,True,model
models/fusion/awaf.py,True,19633,True,model
models/pooling/attention_pooling.py,True,2328,True,model
models/modules/minimal_lora.py,True,3208,True,model
models/modules/uncertainty_residual_gate.py,True,5458,True,model
models/modules/text_confidence_residual.py,True,5423,True,model
models/baselines/base_baseline.py,True,4855,True,model
models/baselines/tfn_lite.py,True,1968,True,model
models/baselines/lmf_lite.py,True,1944,True,model
models/baselines/mult_lite.py,True,3436,True,model
models/baselines/self_mm_lite.py,True,2319,True,model
models/baselines/misa_lite.py,True,941,True,model
models/baselines/mlcl_lite.py,True,1442,True,model
models/baselines/dlf_lite.py,True,1422,True,model
data/textft_multimodal_dataset.py,True,6177,True,data
utils/metrics.py,True,8434,True,metrics
tests/test_metrics_mosei_non0.py,True,6629,True,test
